Entity Name,Entity ID,Fiscal Year,Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Secured and Unsecured Property Taxes_General Revenues_Taxes,Secured and Unsecured Property Taxes_Total Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Functional Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_General Revenues_Taxes,Supplemental Roll Secured and Unsecured Property Taxes_Total Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Functional Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_General Revenues_Taxes,Property Tax In-Lieu of Vehicle License Fees_Total Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Functional Revenues_Taxes,Supplemental Roll Voter-Approved Indebtedness Property Taxes_Total Revenues_Taxes,Property Taxes – Prior_Functional Revenues_Taxes,Property Taxes – Prior_General Revenues_Taxes,Property Taxes – Prior_Total Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Functional Revenues_Taxes,Supplemental Roll Property Taxes – Prior_General Revenues_Taxes,Supplemental Roll Property Taxes – Prior_Total Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Functional Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_General Revenues_Taxes,Pass-through Property Taxes (ABX1 26)_Total Revenues_Taxes,Residual Property Taxes (ABX1 26)_Functional Revenues_Taxes,Residual Property Taxes (ABX1 26)_General Revenues_Taxes,Residual Property Taxes (ABX1 26)_Total Revenues_Taxes,Parcel Tax_Functional Revenues_Taxes,Parcel Tax_General Revenues_Taxes,Parcel Tax_Total Revenues_Taxes,Other Property Taxes_Functional Revenues_Taxes,Other Property Taxes_General Revenues_Taxes,Other Property Taxes_Total Revenues_Taxes,"Interest, Penalties, and Delinquent Taxes_Functional Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_General Revenues_Taxes","Interest, Penalties, and Delinquent Taxes_Total Revenues_Taxes",Sales and Use Taxes_Functional Revenues_Taxes,Sales and Use Taxes_General Revenues_Taxes,Sales and Use Taxes_Total Revenues_Taxes,Transportation Taxes – Transit_Functional Revenues_Taxes,Transportation Taxes – Transit_Total Revenues_Taxes,Transportation Taxes – Nontransit_Functional Revenues_Taxes,Transportation Taxes – Nontransit_Total Revenues_Taxes,Transient Occupancy Taxes_Functional Revenues_Taxes,Transient Occupancy Taxes_General Revenues_Taxes,Transient Occupancy Taxes_Total Revenues_Taxes,Franchises_Functional Revenues_Taxes,Franchises_General Revenues_Taxes,Franchises_Total Revenues_Taxes,Business License Taxes_Functional Revenues_Taxes,Business License Taxes_General Revenues_Taxes,Business License Taxes_Total Revenues_Taxes,Real Property Transfer Taxes_Functional Revenues_Taxes,Real Property Transfer Taxes_General Revenues_Taxes,Real Property Transfer Taxes_Total Revenues_Taxes,Utility Users Taxes_Functional Revenues_Taxes,Utility Users Taxes_General Revenues_Taxes,Utility Users Taxes_Total Revenues_Taxes,Construction Development Taxes_Functional Revenues_Taxes,Construction Development Taxes_General Revenues_Taxes,Construction Development Taxes_Total Revenues_Taxes,Admission Tax_Functional Revenues_Taxes – Other,Admission Tax_General Revenues_Taxes – Other,Admission Tax_Total Revenues_Taxes – Other,Parking Tax_Functional Revenues_Taxes – Other,Parking Tax_Total Revenues_Taxes – Other,Employers Payroll Tax_General Revenues_Taxes – Other,Employers Payroll Tax_Total Revenues_Taxes – Other,Other Taxes – Other (Specify)_Functional Revenues_Taxes – Other,Other Taxes – Other (Specify)_General Revenues_Taxes – Other,Other Taxes – Other (Specify)_Total Revenues_Taxes – Other,Total Taxes_Functional Revenues_,Total Taxes_General Revenues_,Total Taxes_Total Revenues_
Laguna Woods,1339,2019,NULL,268297,268297,NULL,7359,7359,NULL,2345270,2345270,NULL,NULL,NULL,NULL,NULL,1392,1392,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1045,1045,NULL,605,605,NULL,901697,901697,NULL,NULL,515624,515624,NULL,483729,483729,NULL,715149,715149,NULL,NULL,NULL,NULL,89740,89740,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,0,515624,4814283,5329907
Lake Elsinore,1340,2019,NULL,2214755,2214755,NULL,NULL,NULL,NULL,5311731,5311731,NULL,NULL,NULL,NULL,NULL,78607,78607,NULL,NULL,NULL,610346,NULL,610346,NULL,NULL,NULL,NULL,NULL,NULL,NULL,31031,31031,NULL,NULL,NULL,NULL,10647192,10647192,NULL,NULL,1356510,1356510,NULL,577805,577805,NULL,2537975,2537975,NULL,376961,376961,NULL,352782,352782,NULL,NULL,NULL,NULL,648768,648768,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3210613,NULL,3210613,5177469,22777607,27955076
Lake Forest,1341,2019,NULL,9838485,9838485,NULL,268881,268881,NULL,8244915,8244915,NULL,NULL,NULL,NULL,NULL,54409,54409,NULL,NULL,NULL,NULL,NULL,NULL,NULL,962824,962824,NULL,NULL,NULL,NULL,60569,60569,NULL,15260,15260,NULL,17104605,17104605,NULL,NULL,1487744,1487744,NULL,3670842,3670842,NULL,2639073,2639073,NULL,NULL,NULL,NULL,665276,665276,NULL,NULL,NULL,NULL,3405983,3405983,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68350,68350,1487744,46999472,48487216
Lakeport,1342,2019,NULL,407676,407676,NULL,7034,7034,NULL,426932,426932,NULL,NULL,NULL,NULL,NULL,261,261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3751230,3751230,NULL,NULL,NULL,NULL,NULL,197785,197785,NULL,336003,336003,NULL,81400,81400,NULL,28746,28746,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4066,-4066,0,5233001,5233001
Lakewood,1343,2019,NULL,5206883,5206883,NULL,250975,250975,NULL,9161151,9161151,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15381,15381,NULL,14635986,14635986,1320082,1320082,1591472,1591472,NULL,58809,58809,NULL,1543021,1543021,11550,635152,646702,NULL,323056,323056,NULL,3061021,3061021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2923104,34891435,37814539
Lancaster,1344,2019,NULL,3816451,3816451,NULL,89198,89198,NULL,14652333,14652333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2117457,2117457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1881302,1881302,NULL,NULL,NULL,NULL,23614323,23614323,16669847,16669847,5795349,5795349,NULL,2211230,2211230,NULL,7973690,7973690,NULL,848659,848659,NULL,537846,537846,NULL,NULL,NULL,7535271,NULL,7535271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,213814,213814,30000467,57956303,87956770
Larkspur,1345,2019,NULL,8628589,8628589,NULL,363339,363339,NULL,1428011,1428011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3319160,3319160,NULL,NULL,2601751,2601751,NULL,1062123,1062123,NULL,1009764,1009764,NULL,375821,375821,NULL,151413,151413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1199181,1199181,2601751,17537401,20139152
Lathrop,1346,2019,NULL,4401993,4401993,NULL,NULL,NULL,NULL,1850882,1850882,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5485976,5485976,NULL,NULL,449206,449206,NULL,1204106,1204106,NULL,666781,666781,NULL,192971,192971,NULL,278011,278011,NULL,NULL,NULL,14060867,NULL,14060867,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6515500,NULL,6515500,21025573,14080720,35106293
Lawndale,1347,2019,NULL,1070904,1070904,NULL,NULL,NULL,NULL,3615968,3615968,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,479587,479587,NULL,NULL,NULL,NULL,3171572,3171572,1793796,1793796,NULL,NULL,NULL,704869,704869,NULL,762816,762816,NULL,449435,449435,NULL,68746,68746,NULL,1719735,1719735,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,886426,NULL,886426,2680222,12043632,14723854
Lemon Grove,1348,2019,NULL,2491574,2491574,NULL,71775,71775,NULL,2608597,2608597,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,182070,182070,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5944081,5944081,120850,120850,1997308,1997308,NULL,53761,53761,NULL,1021549,1021549,NULL,83699,83699,NULL,99378,99378,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2118158,12556484,14674642
Lemoore,1349,2019,NULL,881294,881294,NULL,42352,42352,NULL,2121128,2121128,NULL,NULL,NULL,NULL,NULL,1767224,1767224,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2395423,2395423,NULL,NULL,NULL,NULL,NULL,256005,256005,NULL,708621,708621,NULL,133884,133884,NULL,68774,68774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,8374705,8374705
Lincoln,1350,2019,NULL,6260037,6260037,NULL,205957,205957,NULL,3348919,3348919,NULL,NULL,NULL,NULL,NULL,1783,1783,NULL,82,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,NULL,4160426,4160426,2589240,2589240,74995,74995,NULL,346865,346865,NULL,906237,906237,NULL,NULL,NULL,NULL,391150,391150,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,272456,272456,2664235,15893919,18558154
Lindsay,1351,2019,NULL,355271,355271,NULL,NULL,NULL,NULL,1078370,1078370,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38654,38654,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1136941,1136941,NULL,NULL,1531333,1531333,NULL,68490,68490,NULL,55677,55677,NULL,80591,80591,NULL,3027,3027,NULL,923901,923901,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1142618,1142618,1531333,4883540,6414873
Live Oak,1352,2019,NULL,663970,663970,NULL,NULL,NULL,NULL,889435,889435,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,46121,46121,NULL,NULL,NULL,NULL,394402,394402,NULL,NULL,411157,411157,NULL,NULL,NULL,NULL,232801,232801,NULL,40846,40846,NULL,18946,18946,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,260919,198170,459089,672076,2484691,3156767
Livermore,1353,2019,NULL,33835011,33835011,NULL,971308,971308,NULL,8373466,8373466,NULL,NULL,NULL,NULL,NULL,533453,533453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,477175,477175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,134323,134323,NULL,35556493,35556493,NULL,NULL,2056512,2056512,NULL,3715939,3715939,NULL,5206202,5206202,NULL,6933658,6933658,NULL,831665,831665,NULL,NULL,NULL,NULL,199590,199590,NULL,NULL,NULL,NULL,NULL,NULL,NULL,371546,588666,960212,2428058,97356949,99785007
Livingston,1354,2019,NULL,1337458,1337458,NULL,39934,39934,NULL,1502524,1502524,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178413,178413,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1359697,1359697,NULL,NULL,NULL,NULL,NULL,78240,78240,NULL,292256,292256,NULL,207926,207926,NULL,37154,37154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,5033602,5033602
Lodi,1355,2019,NULL,10710564,10710564,NULL,NULL,NULL,NULL,5399494,5399494,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14286516,14286516,NULL,NULL,1881020,1881020,NULL,735601,735601,NULL,9319644,9319644,NULL,1444761,1444761,NULL,255261,255261,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100800,441898,542698,1981820,42593739,44575559
Loma Linda,1356,2019,NULL,1314378,1314378,NULL,24858,24858,NULL,2282204,2282204,NULL,NULL,NULL,NULL,NULL,34998,34998,NULL,NULL,NULL,NULL,137703,137703,NULL,460033,460033,NULL,NULL,NULL,NULL,10975,10975,NULL,NULL,NULL,NULL,8309243,8309243,NULL,NULL,2325907,2325907,NULL,670867,670867,NULL,961693,961693,NULL,321975,321975,NULL,65828,65828,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2325907,14594755,16920662
Lomita,1357,2019,NULL,1591325,1591325,NULL,NULL,NULL,NULL,2263193,2263193,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2011963,2011963,NULL,NULL,2427801,2427801,NULL,185632,185632,NULL,407479,407479,NULL,652617,652617,NULL,83450,83450,NULL,NULL,NULL,NULL,18000,18000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,267502,NULL,267502,2695303,7213659,9908962
Lompoc,1358,2019,NULL,4305184,4305184,NULL,138666,138666,NULL,3608995,3608995,NULL,NULL,NULL,NULL,NULL,-8542,-8542,NULL,83075,83075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4687,4687,NULL,316,316,NULL,5253464,5253464,NULL,NULL,2463076,2463076,NULL,2172782,2172782,NULL,625164,625164,NULL,374397,374397,NULL,112191,112191,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,982,982,2463076,16671361,19134437
Long Beach,1359,2019,NULL,94941038,94941038,NULL,NULL,NULL,NULL,50893688,50893688,NULL,NULL,NULL,NULL,NULL,4761316,4761316,NULL,NULL,NULL,NULL,4788489,4788489,NULL,48467128,48467128,NULL,NULL,NULL,NULL,NULL,NULL,NULL,257728,257728,NULL,72230024,72230024,30150901,30150901,NULL,NULL,NULL,28758011,28758011,NULL,18125519,18125519,NULL,13854932,13854932,NULL,2613158,2613158,NULL,34897648,34897648,7560764,NULL,7560764,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4840696,66368000,71208696,42552361,440956679,483509040
Loomis,1360,2019,NULL,1187677,1187677,NULL,34897,34897,NULL,700728,700728,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1942966,1942966,45341,45341,376752,376752,NULL,15085,15085,NULL,269325,269325,NULL,28850,28850,NULL,44771,44771,NULL,NULL,NULL,119274,NULL,119274,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,541367,4224299,4765666
Los Alamitos,1361,2019,NULL,2159009,2159009,NULL,60952,60952,NULL,1203317,1203317,NULL,NULL,NULL,NULL,NULL,15804,15804,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,39244,39244,NULL,NULL,NULL,NULL,3597155,3597155,NULL,NULL,233179,233179,NULL,159764,159764,NULL,661225,661225,NULL,684310,684310,NULL,113593,113593,NULL,1967628,1967628,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26315,NULL,26315,259494,10662001,10921495
Los Altos,1362,2019,NULL,19221220,19221220,NULL,626625,626625,NULL,3875404,3875404,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3461298,3461298,NULL,NULL,NULL,NULL,NULL,3166067,3166067,NULL,2222237,2222237,NULL,540262,540262,NULL,679424,679424,NULL,2743570,2743570,NULL,113588,113588,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15054,15054,0,36664749,36664749
Los Altos Hills,1363,2019,NULL,4788600,4788600,NULL,180334,180334,NULL,1122527,1122527,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1101,1101,NULL,NULL,NULL,NULL,67171,67171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,530991,530991,NULL,220888,220888,NULL,117014,117014,NULL,NULL,NULL,2050,NULL,2050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,274655,274655,2050,7303281,7305331
Los Angeles,1364,2019,NULL,1444968003,1444968003,NULL,34442414,34442414,NULL,473439839,473439839,140545011,140545011,4643998,4643998,NULL,20388980,20388980,NULL,7997631,7997631,21025630,NULL,21025630,NULL,73970632,73970632,25784427,NULL,25784427,NULL,NULL,NULL,412690,4141952,4554642,NULL,596464853,596464853,206154133,206154133,58169945,58169945,86727699,255135671,341863370,48026940,80663092,128690032,NULL,617168779,617168779,NULL,206483083,206483083,NULL,606368533,606368533,3281363,4918386,8199749,NULL,NULL,NULL,119077096,119077096,NULL,NULL,3107999,8539505,11647504,716956931,4435091353,5152048284
Los Banos,1365,2019,NULL,3761905,3761905,NULL,81303,81303,NULL,2921169,2921169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5450917,5450917,NULL,NULL,NULL,NULL,NULL,459627,459627,NULL,516496,516496,NULL,148560,148560,NULL,161871,161871,NULL,NULL,NULL,4498886,NULL,4498886,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2717155,159017,2876172,7216041,13660865,20876906
Los Gatos,1366,2019,NULL,8527207,8527207,NULL,4121978,4121978,NULL,3685247,3685247,NULL,NULL,NULL,NULL,NULL,48671,48671,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,345073,345073,NULL,12456,12456,30582,8158152,8188734,NULL,NULL,NULL,NULL,NULL,2692043,2692043,NULL,2475916,2475916,NULL,1526894,1526894,NULL,548496,548496,NULL,NULL,NULL,NULL,34699,34699,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,30582,32176832,32207414
Loyalton,1367,2019,NULL,62693,62693,NULL,304,304,NULL,62797,62797,NULL,NULL,NULL,NULL,NULL,47,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80059,80059,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6415,6415,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,212315,212315
Lynwood,1368,2019,NULL,2936714,2936714,NULL,47397,47397,NULL,7637814,7637814,3299664,3299664,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,109229,109229,NULL,NULL,NULL,NULL,14960634,14960634,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3572171,3572171,NULL,584286,584286,NULL,83463,83463,NULL,5014483,5014483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3299664,34946191,38245855
Madera,1369,2019,NULL,4293190,4293190,NULL,163201,163201,NULL,5950434,5950434,NULL,NULL,NULL,NULL,NULL,1000,1000,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8421830,8421830,3082623,3082623,6118305,6118305,NULL,903124,903124,NULL,649666,649666,NULL,500511,500511,NULL,114079,114079,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9200928,20997035,30197963
Malibu,1370,2019,NULL,11582210,11582210,NULL,NULL,NULL,NULL,2001346,2001346,NULL,NULL,NULL,NULL,NULL,12567,12567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3710123,3710123,NULL,NULL,1734387,1734387,NULL,4550285,4550285,NULL,665677,665677,NULL,NULL,NULL,NULL,540656,540656,NULL,2094120,2094120,67466,NULL,67466,NULL,NULL,NULL,385149,385149,NULL,NULL,NULL,NULL,NULL,2187002,25156984,27343986
Mammoth Lakes,1371,2019,NULL,2571365,2571365,NULL,38290,38290,NULL,859087,859087,NULL,NULL,NULL,NULL,NULL,36857,36857,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,193520,193520,NULL,NULL,NULL,NULL,4228036,4228036,NULL,NULL,NULL,NULL,NULL,26210525,26210525,NULL,914599,914599,NULL,507063,507063,NULL,36261,36261,NULL,883470,883470,NULL,324950,324950,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,36804023,36804023
Manhattan Beach,1372,2019,NULL,27033568,27033568,NULL,789770,789770,NULL,4720835,4720835,NULL,NULL,NULL,NULL,NULL,-135526,-135526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75919,75919,NULL,9339304,9339304,712460,712460,1609311,1609311,NULL,5140858,5140858,NULL,1234752,1234752,NULL,4053020,4053020,NULL,783516,783516,NULL,NULL,NULL,42745,NULL,42745,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-377226,-377226,2364516,52658790,55023306
Manteca,1373,2019,NULL,8538973,8538973,NULL,NULL,NULL,NULL,6755360,6755360,NULL,NULL,NULL,NULL,NULL,9252,9252,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1744818,1744818,NULL,NULL,NULL,NULL,404750,404750,NULL,41439,41439,NULL,13403402,13403402,1414359,1414359,3162239,3162239,NULL,1741035,1741035,NULL,1473839,1473839,NULL,622951,622951,NULL,546265,546265,NULL,NULL,NULL,7185577,NULL,7185577,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6894812,0,6894812,18656987,35282084,53939071
Maricopa,1374,2019,NULL,126233,126233,NULL,NULL,NULL,NULL,45977,45977,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29724,29724,NULL,NULL,NULL,NULL,NULL,53421,53421,NULL,12862,12862,NULL,30850,30850,NULL,3009,3009,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,53421,248655,302076
Marina,1375,2019,NULL,2417421,2417421,NULL,80161,80161,NULL,3649318,3649318,500831,500831,8407,8407,NULL,33321,33321,NULL,NULL,NULL,NULL,11303,11303,NULL,333896,333896,204945,NULL,204945,NULL,NULL,NULL,NULL,7910,7910,87288,6775637,6862925,NULL,NULL,886241,886241,NULL,4010134,4010134,116609,1080833,1197442,NULL,1657360,1657360,NULL,184862,184862,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,178741,178741,1804321,20420897,22225218
Martinez,1376,2019,NULL,9163549,9163549,NULL,NULL,NULL,NULL,3460202,3460202,2223497,2223497,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5088006,5088006,NULL,NULL,8011454,8011454,NULL,545565,545565,NULL,1694482,1694482,NULL,800425,800425,NULL,220886,220886,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10234951,20973115,31208066
Marysville,1377,2019,NULL,1206670,1206670,NULL,27493,27493,NULL,916816,916816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2071094,2071094,NULL,NULL,NULL,NULL,NULL,233427,233427,NULL,516560,516560,NULL,185220,185220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3162932,3162932,0,8320212,8320212
Maywood,1378,2019,NULL,264748,264748,NULL,NULL,NULL,NULL,2817126,2817126,1127717,1127717,NULL,NULL,NULL,720762,720762,NULL,NULL,NULL,NULL,73921,73921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1906213,1906213,1043646,1043646,NULL,NULL,NULL,64248,64248,NULL,190146,190146,NULL,194501,194501,NULL,25414,25414,NULL,939470,939470,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,744442,1065504,1809946,2915805,8262053,11177858
McFarland,1379,2019,NULL,413547,413547,NULL,NULL,NULL,NULL,1607603,1607603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,347262,347262,NULL,NULL,35995,35995,NULL,NULL,NULL,NULL,434025,434025,NULL,20971,20971,NULL,12180,12180,NULL,NULL,NULL,1073309,NULL,1073309,NULL,NULL,NULL,NULL,NULL,NULL,NULL,265412,NULL,265412,1374716,2835588,4210304
Mendota,1380,2019,NULL,435423,435423,NULL,NULL,NULL,NULL,839073,839073,NULL,NULL,NULL,NULL,NULL,2774,2774,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,760623,760623,NULL,NULL,671170,671170,NULL,2672,2672,NULL,210173,210173,NULL,79784,79784,NULL,19260,19260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2951,NULL,2951,674121,2349782,3023903
