csvData
rank,name,pop2022,pop2010,growth,density,aland_sqmi
251,Atwater,32730,28168,0.1620,5373,6.0920
252,San Pablo,32725,29139,0.1231,12443,2.6300
253,Orcutt,32660,28905,0.1299,2935,11.1270
254,Fallbrook,32613,30534,0.0681,1859,17.5410
255,Beverly Hills,32419,34109,-0.0495,5680,5.7080
256,Seaside,32234,33025,-0.0240,3489,9.2400
257,Los Altos,32155,28976,0.1097,4961,6.4810
258,Burlingame,31902,28806,0.1075,7242,4.4050
259,El Paso de Robles Paso Robles,31830,29793,0.0684,1621,19.6420
260,Lawndale,31615,32769,-0.0352,16016,1.9740
261,Laguna Hills,31580,30344,0.0407,4782,6.6040
262,Spring Valley,31556,28205,0.1188,4298,7.3420
263,La Verne,31388,31063,0.0105,3722,8.4330
264,Saratoga,31275,29926,0.0451,2450,12.7670
265,San Carlos,31186,28406,0.0979,5657,5.5130
266,Santa Paula,30925,29321,0.0547,6812,4.5400
267,Lathrop,30837,18023,0.7110,1555,19.8260
268,San Lorenzo,30807,23452,0.3136,11102,2.7750
269,Monterey,30700,27810,0.1039,3554,8.6380
270,East Palo Alto,30410,28155,0.0801,12063,2.5210
271,Atascadero,30065,28310,0.0620,1154,26.0640
272,Suisun City,29800,28111,0.0601,7338,4.0610
273,Banning,29485,29603,-0.0040,1267,23.2690
274,Belmont,28835,25835,0.1161,6222,4.6340
275,Twentynine Palms,28669,25048,0.1446,488,58.7570
276,Walnut,28282,29172,-0.0305,3145,8.9920
277,Lemon Grove,28089,25320,0.1094,7241,3.8790
278,West Rancho Dominguez,28083,5669,3.9538,7067,3.9740
279,Ridgecrest,28027,27616,0.0149,1342,20.8800
280,Lemoore,27540,24531,0.1227,3125,8.8140
281,Mountain House,27463,9675,1.8386,8601,3.1930
282,Wasco,27347,25545,0.0705,2913,9.3880
283,South Pasadena,27207,25619,0.0620,7986,3.4070
284,Benicia,27157,26997,0.0059,2115,12.8390
285,Sanger,27087,24270,0.1161,4701,5.7620
286,Ladera Ranch,26808,22980,0.1666,5455,4.9140
287,Brawley,26708,24953,0.0703,3290,8.1180
288,El Cerrito,26444,23549,0.1229,7231,3.6570
289,Hercules,26408,24060,0.0976,4120,6.4100
290,Eureka,26376,27191,-0.0300,2811,9.3840
291,Windsor,26252,26801,-0.0205,3611,7.2700
292,Norco,26166,27063,-0.0331,1892,13.8320
293,Imperial Beach,26099,26324,-0.0085,6070,4.3000
294,Barstow,25971,22639,0.1472,629,41.2750
295,North Tustin,25878,24917,0.0386,3914,6.6110
296,Galt,25731,23647,0.0881,3782,6.8040
297,Lafayette,25691,23893,0.0753,1708,15.0450
298,Seal Beach,25456,24168,0.0533,2258,11.2750
299,Reedley,25433,24194,0.0512,4669,5.4470
300,Riverbank,25303,22678,0.1158,6248,4.0500
301,West Whittier-Los Nietos,25281,25540,-0.0101,10036,2.5190
302,Dinuba,25185,21453,0.1740,3867,6.5120
303,Loma Linda,25097,23261,0.0789,3278,7.6570
304,Selma,24966,23219,0.0752,4328,5.7680
305,Soledad,24763,25738,-0.0379,5526,4.4810
306,Maywood,24686,27395,-0.0989,20956,1.1780
307,Patterson,24455,20413,0.1980,3137,7.7960
308,Bloomington,24437,23851,0.0246,4025,6.0720
309,Bay Point,24406,21349,0.1432,3783,6.4510
310,East San Gabriel,24349,14874,0.6370,15588,1.5620
311,Ashland,24203,21925,0.1039,13168,1.8380
312,San Fernando,24006,23645,0.0153,10112,2.3740
313,Oakdale,23683,20675,0.1455,3832,6.1810
314,Rosemont,23676,22681,0.0439,5414,4.3730
315,Millbrae,23552,21532,0.0938,7245,3.2510
316,Calabasas,23277,23058,0.0095,1701,13.6820
317,West Carson,23104,21699,0.0647,10196,2.2660
318,Laguna Beach,23094,22723,0.0163,2597,8.8920
319,West Puente Valley,23023,22636,0.0171,12318,1.8690
320,Marina,22887,19718,0.1607,2575,8.8890
321,Winter Gardens,22730,20631,0.1017,5143,4.4200
322,Stanford,22618,13809,0.6379,8240,2.7450
323,Cudahy,22613,23805,-0.0501,19229,1.1760
324,Linda,22430,17773,0.2620,2613,8.5850
325,Valinda,22361,22822,-0.0202,11103,2.0140
326,American Canyon,22313,19454,0.1470,3666,6.0860
327,Port Hueneme,22000,21723,0.0128,4974,4.4230
328,Rancho San Diego,21988,21208,0.0368,2529,8.6960
329,Willowbrook,21957,35983,-0.3898,14193,1.5470
330,Yucca Valley,21946,20700,0.0602,551,39.8310
331,Corcoran,21845,24813,-0.1196,2963,7.3730
332,Duarte,21809,21321,0.0229,3251,6.7080
333,Ramona,21704,20292,0.0696,565,38.4360
334,Rosamond,21523,18150,0.1858,413,52.1220
335,Granite Bay,21415,20402,0.0497,996,21.5090
336,Imperial,21363,14758,0.4476,3426,6.2360
337,South Lake Tahoe,21316,21403,-0.0041,2099,10.1540
338,Lomita,21053,20256,0.0393,11011,1.9120
